Vehicle_ID,Model,Variant,Model_Year,Battery_Capacity_kWh,Battery_Type,Manufacture_Date,Region,Vehicle_Age_Years,Odometer_km
BMW0044,i7,xDrive60,2021,101.7,Li-Ion,2021-06-24,Europe,5,26270
BMW0045,i5,eDrive40,2023,81.2,Li-Ion,2023-11-08,Asia,3,15140
BMW0046,i4,M50,2022,83.9,Li-Ion,2022-02-16,Europe,4,22490
BMW0047,iX1,xDrive30,2024,64.7,Li-Ion,2024-05-03,Asia,2,8210
BMW0048,iX,xDrive40,2021,76.6,Li-Ion,2021-11-17,North America,5,28930
BMW0049,i5,M60,2023,81.2,Li-Ion,2023-07-02,Europe,3,14280
BMW0050,i4,eDrive35,2022,70.0,Li-Ion,2022-12-06,Asia,4,20170
BMW0051,i4,eDrive40,2023,83.9,Li-Ion,2023-01-18,Europe,3,13240
BMW0052,iX,xDrive50,2022,111.5,Li-Ion,2022-05-06,North America,4,19780
BMW0053,iX3,M Sport,2024,80.0,Li-Ion,2024-03-12,Asia,2,8790
BMW0054,i7,xDrive60,2021,101.7,Li-Ion,2021-04-27,Europe,5,27430
BMW0055,i5,eDrive40,2023,81.2,Li-Ion,2023-09-23,Asia,3,16720
BMW0056,i4,M50,2022,83.9,Li-Ion,2022-07-10,North America,4,23650
BMW0057,iX1,xDrive30,2024,64.7,Li-Ion,2024-06-28,Europe,2,9120
BMW0058,iX,xDrive40,2021,76.6,Li-Ion,2021-08-31,North America,5,29480
BMW0059,i5,M60,2023,81.2,Li-Ion,2023-02-05,Asia,3,11930
BMW0060,i4,eDrive35,2022,70.0,Li-Ion,2022-09-28,Europe,4,20340
BMW0061,i4,eDrive40,2023,83.9,Li-Ion,2023-04-22,Asia,3,14120
BMW0062,iX,xDrive50,2022,111.5,Li-Ion,2022-06-03,Europe,4,18190
BMW0063,iX3,M Sport,2024,80.0,Li-Ion,2024-01-08,North America,2,7580
BMW0064,i7,xDrive60,2021,101.7,Li-Ion,2021-10-11,Europe,5,26920
BMW0065,i5,eDrive40,2023,81.2,Li-Ion,2023-08-29,Asia,3,15380
BMW0066,i4,M50,2022,83.9,Li-Ion,2022-03-24,North America,4,21870
BMW0067,iX1,xDrive30,2024,64.7,Li-Ion,2024-07-02,Europe,2,6840
BMW0068,iX,xDrive50,2021,111.5,Li-Ion,2021-05-13,North America,5,31020
BMW0069,i5,M60,2023,81.2,Li-Ion,2023-06-19,Asia,3,13690
BMW0070,i4,eDrive35,2022,70.0,Li-Ion,2022-11-27,Europe,4,20980
BMW0071,i4,eDrive40,2023,83.9,Li-Ion,2023-03-17,Asia,3,12780
BMW0072,iX,xDrive50,2022,111.5,Li-Ion,2022-08-24,Europe,4,19340
BMW0073,iX3,M Sport,2024,80.0,Li-Ion,2024-04-17,North America,2,10420
BMW0074,i7,xDrive60,2021,101.7,Li-Ion,2021-07-05,Europe,5,25860
BMW0075,i5,eDrive40,2023,81.2,Li-Ion,2023-10-18,Asia,3,16040
BMW0076,i4,M50,2022,83.9,Li-Ion,2022-01-30,North America,4,22760
BMW0077,iX1,xDrive30,2024,64.7,Li-Ion,2024-05-25,Europe,2,8430
BMW0078,iX,xDrive40,2021,76.6,Li-Ion,2021-09-29,North America,5,27650
BMW0079,i5,M60,2023,81.2,Li-Ion,2023-07-27,Asia,3,14580
BMW0080,i4,eDrive35,2022,70.0,Li-Ion,2022-10-08,Europe,4,21640
BMW0081,i4,eDrive40,2023,83.9,Li-Ion,2023-02-02,Asia,3,11760
BMW0082,iX,xDrive50,2022,111.5,Li-Ion,2022-04-19,Europe,4,20540
BMW0083,iX3,M Sport,2024,80.0,Li-Ion,2024-02-26,North America,2,9360
BMW0084,i7,xDrive60,2021,101.7,Li-Ion,2021-06-02,Europe,5,28370
BMW0085,i5,eDrive40,2023,81.2,Li-Ion,2023-09-14,Asia,3,17290
BMW0086,i4,M50,2022,83.9,Li-Ion,2022-07-31,North America,4,23980
BMW0087,iX1,xDrive30,2024,64.7,Li-Ion,2024-08-07,Europe,2,7910
BMW0088,iX,xDrive50,2021,111.5,Li-Ion,2021-03-21,North America,5,29840
BMW0089,i5,M60,2023,81.2,Li-Ion,2023-05-11,Asia,3,13020
BMW0090,i4,eDrive35,2022,70.0,Li-Ion,2022-12-18,Europe,4,20890
BMW0091,i4,eDrive40,2023,83.9,Li-Ion,2023-04-03,Asia,3,12360
BMW0092,iX,xDrive50,2022,111.5,Li-Ion,2022-09-15,Europe,4,18760
BMW0093,iX3,M Sport,2024,80.0,Li-Ion,2024-03-30,North America,2,10140
BMW0094,i7,xDrive60,2021,101.7,Li-Ion,2021-08-08,Europe,5,27120
BMW0095,i5,eDrive40,2023,81.2,Li-Ion,2023-11-21,Asia,3,15570
BMW0096,i4,M50,2022,83.9,Li-Ion,2022-05-17,North America,4,23210
BMW0097,iX1,xDrive30,2024,64.7,Li-Ion,2024-06-06,Europe,2,7280
BMW0098,iX,xDrive40,2021,76.6,Li-Ion,2021-10-25,North America,5,29170
BMW0099,i5,M60,2023,81.2,Li-Ion,2023-08-12,Asia,3,13980
BMW0100,i4,eDrive35,2022,70.0,Li-Ion,2022-02-08,Europe,4,21430
BMW0101,i4,eDrive40,2023,83.9,Li-Ion,2023-05-02,Asia,3,13120
BMW0102,iX,xDrive50,2022,111.5,Li-Ion,2022-06-27,Europe,4,19680
BMW0103,iX3,M Sport,2024,80.0,Li-Ion,2024-01-19,North America,2,8240
BMW0104,i7,xDrive60,2021,101.7,Li-Ion,2021-04-15,Europe,5,27940
BMW0105,i5,eDrive40,2023,81.2,Li-Ion,2023-10-07,Asia,3,16120
BMW0106,i4,M50,2022,83.9,Li-Ion,2022-08-13,North America,4,22580
BMW0107,iX1,xDrive30,2024,64.7,Li-Ion,2024-07-24,Europe,2,8760
BMW0108,iX,xDrive50,2021,111.5,Li-Ion,2021-02-19,North America,5,30450
BMW0109,i5,M60,2023,81.2,Li-Ion,2023-06-28,Asia,3,14730
BMW0110,i4,eDrive35,2022,70.0,Li-Ion,2022-11-04,Europe,4,20210
BMW0111,i4,eDrive40,2023,83.9,Li-Ion,2023-03-26,Asia,3,12640
BMW0112,iX,xDrive50,2022,111.5,Li-Ion,2022-07-07,Europe,4,19120
BMW0113,iX3,M Sport,2024,80.0,Li-Ion,2024-04-23,North America,2,11080
BMW0114,i7,xDrive60,2021,101.7,Li-Ion,2021-09-06,Europe,5,26490
BMW0115,i5,eDrive40,2023,81.2,Li-Ion,2023-08-22,Asia,3,15420
BMW0116,i4,M50,2022,83.9,Li-Ion,2022-03-06,North America,4,23780
BMW0117,iX1,xDrive30,2024,64.7,Li-Ion,2024-05-10,Europe,2,8120
BMW0118,iX,xDrive40,2021,76.6,Li-Ion,2021-11-02,North America,5,28630
BMW0119,i5,M60,2023,81.2,Li-Ion,2023-01-24,Asia,3,11870
BMW0120,i4,eDrive35,2022,70.0,Li-Ion,2022-10-29,Europe,4,21960
BMW0121,i4,eDrive40,2023,83.9,Li-Ion,2023-04-11,Asia,3,13680
BMW0122,iX,xDrive50,2022,111.5,Li-Ion,2022-05-25,Europe,4,18270
BMW0123,iX3,M Sport,2024,80.0,Li-Ion,2024-02-14,North America,2,9050
BMW0124,i7,xDrive60,2021,101.7,Li-Ion,2021-06-18,Europe,5,27580
BMW0125,i5,eDrive40,2023,81.2,Li-Ion,2023-09-30,Asia,3,16930
BMW0126,i4,M50,2022,83.9,Li-Ion,2022-04-22,North America,4,24120
BMW0127,iX1,xDrive30,2024,64.7,Li-Ion,2024-08-25,Europe,2,7650
BMW0128,iX,xDrive50,2021,111.5,Li-Ion,2021-07-14,North America,5,31240
BMW0129,i5,M60,2023,81.2,Li-Ion,2023-07-09,Asia,3,14320
BMW0130,i4,eDrive35,2022,70.0,Li-Ion,2022-12-03,Europe,4,20760
BMW0131,i4,eDrive40,2023,83.9,Li-Ion,2023-02-28,Asia,3,12940
BMW0132,iX,xDrive50,2022,111.5,Li-Ion,2022-08-18,Europe,4,19850
BMW0133,iX3,M Sport,2024,80.0,Li-Ion,2024-03-07,North America,2,9780
BMW0134,i7,xDrive60,2021,101.7,Li-Ion,2021-05-04,Europe,5,26740
BMW0135,i5,eDrive40,2023,81.2,Li-Ion,2023-10-25,Asia,3,15790
BMW0136,i4,M50,2022,83.9,Li-Ion,2022-06-09,North America,4,22840
BMW0137,iX1,xDrive30,2024,64.7,Li-Ion,2024-06-21,Europe,2,8530
BMW0138,iX,xDrive40,2021,76.6,Li-Ion,2021-03-16,North America,5,29760
BMW0139,i5,M60,2023,81.2,Li-Ion,2023-05-20,Asia,3,13460
BMW0140,i4,eDrive35,2022,70.0,Li-Ion,2022-09-19,Europe,4,21370
BMW0141,i4,eDrive40,2023,83.9,Li-Ion,2023-01-09,Asia,3,12180
BMW0142,iX,xDrive50,2022,111.5,Li-Ion,2022-04-30,Europe,4,20430
BMW0143,iX3,M Sport,2024,80.0,Li-Ion,2024-05-08,North America,2,8900
BMW0144,i7,xDrive60,2021,101.7,Li-Ion,2021-08-27,Europe,5,28190
BMW0145,i5,eDrive40,2023,81.2,Li-Ion,2023-11-12,Asia,3,16340
BMW0146,i4,M50,2022,83.9,Li-Ion,2022-07-26,North America,4,23560
BMW0147,iX1,xDrive30,2024,64.7,Li-Ion,2024-02-03,Europe,2,7020
BMW0148,iX,xDrive50,2021,111.5,Li-Ion,2021-10-19,North America,5,30680
BMW0149,i5,M60,2023,81.2,Li-Ion,2023-06-04,Asia,3,12980
BMW0150,i4,eDrive35,2022,70.0,Li-Ion,2022-11-22,Europe,4,22140
BMW0151,i4,eDrive40,2023,83.9,Li-Ion,2023-03-05,Asia,3,13490
BMW0152,iX,xDrive50,2022,111.5,Li-Ion,2022-06-16,Europe,4,18730
BMW0153,iX3,M Sport,2024,80.0,Li-Ion,2024-01-31,North America,2,8610
BMW0154,i7,xDrive60,2021,101.7,Li-Ion,2021-04-11,Europe,5,27620
BMW0155,i5,eDrive40,2023,81.2,Li-Ion,2023-08-05,Asia,3,14860
BMW0156,i4,M50,2022,83.9,Li-Ion,2022-02-25,North America,4,24280
BMW0157,iX1,xDrive30,2024,64.7,Li-Ion,2024-07-11,Europe,2,7380
BMW0158,iX,xDrive40,2021,76.6,Li-Ion,2021-09-18,North America,5,28960
BMW0159,i5,M60,2023,81.2,Li-Ion,2023-05-31,Asia,3,13720
BMW0160,i4,eDrive35,2022,70.0,Li-Ion,2022-10-13,Europe,4,21050
BMW0161,i4,eDrive40,2023,83.9,Li-Ion,2023-02-17,Asia,3,12590
BMW0162,iX,xDrive50,2022,111.5,Li-Ion,2022-07-28,Europe,4,19470
BMW0163,iX3,M Sport,2024,80.0,Li-Ion,2024-03-22,North America,2,9320
BMW0164,i7,xDrive60,2021,101.7,Li-Ion,2021-05-26,Europe,5,26870
BMW0165,i5,eDrive40,2023,81.2,Li-Ion,2023-09-09,Asia,3,15680
BMW0166,i4,M50,2022,83.9,Li-Ion,2022-04-07,North America,4,23140
BMW0167,iX1,xDrive30,2024,64.7,Li-Ion,2024-06-15,Europe,2,8190
BMW0168,iX,xDrive50,2021,111.5,Li-Ion,2021-03-28,North America,5,30160
BMW0169,i5,M60,2023,81.2,Li-Ion,2023-07-18,Asia,3,14620
BMW0170,i4,eDrive35,2022,70.0,Li-Ion,2022-12-11,Europe,4,20590
BMW0171,i4,eDrive40,2023,83.9,Li-Ion,2023-04-26,Asia,3,13980
BMW0172,iX,xDrive50,2022,111.5,Li-Ion,2022-09-03,Europe,4,20180
BMW0173,iX3,M Sport,2024,80.0,Li-Ion,2024-02-22,North America,2,9730
BMW0174,i7,xDrive60,2021,101.7,Li-Ion,2021-07-30,Europe,5,28320
BMW0175,i5,eDrive40,2023,81.2,Li-Ion,2023-10-13,Asia,3,15970
BMW0176,i4,M50,2022,83.9,Li-Ion,2022-05-12,North America,4,22690
BMW0177,iX1,xDrive30,2024,64.7,Li-Ion,2024-08-14,Europe,2,7840
BMW0178,iX,xDrive40,2021,76.6,Li-Ion,2021-11-08,North America,5,29380
BMW0179,i5,M60,2023,81.2,Li-Ion,2023-06-23,Asia,3,13270
BMW0180,i4,eDrive35,2022,70.0,Li-Ion,2022-08-29,Europe,4,21780
BMW0181,i4,eDrive40,2023,83.9,Li-Ion,2023-03-13,Asia,3,12820
BMW0182,iX,xDrive50,2022,111.5,Li-Ion,2022-06-30,Europe,4,19040
BMW0183,iX3,M Sport,2024,80.0,Li-Ion,2024-04-09,North America,2,9150
BMW0184,i7,xDrive60,2021,101.7,Li-Ion,2021-09-23,Europe,5,27280
BMW0185,i5,eDrive40,2023,81.2,Li-Ion,2023-11-05,Asia,3,16640
BMW0186,i4,M50,2022,83.9,Li-Ion,2022-03-19,North America,4,23820
BMW0187,iX1,xDrive30,2024,64.7,Li-Ion,2024-05-17,Europe,2,8060
BMW0188,iX,xDrive50,2021,111.5,Li-Ion,2021-08-03,North America,5,30820
BMW0189,i5,M60,2023,81.2,Li-Ion,2023-07-31,Asia,3,14190
BMW0190,i4,eDrive35,2022,70.0,Li-Ion,2022-10-06,Europe,4,21260
BMW0191,i4,eDrive40,2023,83.9,Li-Ion,2023-02-12,Asia,3,13380
BMW0192,iX,xDrive50,2022,111.5,Li-Ion,2022-05-21,Europe,4,19720
BMW0193,iX3,M Sport,2024,80.0,Li-Ion,2024-03-15,North America,2,10260
BMW0194,i7,xDrive60,2021,101.7,Li-Ion,2021-06-09,Europe,5,27890
BMW0195,i5,eDrive40,2023,81.2,Li-Ion,2023-09-18,Asia,3,15280
BMW0196,i4,M50,2022,83.9,Li-Ion,2022-01-22,North America,4,23490
BMW0197,iX1,xDrive30,2024,64.7,Li-Ion,2024-07-29,Europe,2,7540
BMW0198,iX,xDrive40,2021,76.6,Li-Ion,2021-10-07,North America,5,29640
BMW0199,i5,M60,2023,81.2,Li-Ion,2023-05-06,Asia,3,13860
BMW0200,i4,eDrive35,2022,70.0,Li-Ion,2022-11-16,Europe,4,21930
